Haglof_Plot_ID,Plot_Radius,Haglof_ID,Tree_Dia_mm,Tree_PosTex1,Tree_PosTex2,Tree_PosTex3,Tree_Local_x,Tree_Local_y,Tree_Local_Dist,Tree_Local_Angle,Tree_Angle_ToPlotCenter,Latitude,Longitude
116,25,3503,188,439,259,329,3.21,0.79,3.3,76.09,7,45.5611167,-84.7051128
116,25,3504,96,1167,1267,1363,-6.13,-11.05,12.64,209.02,12,45.5610125,-84.7052367
116,25,3505,351,735,714,887,0.97,-7.58,7.64,172.75,10,45.5610419,-84.7051445
116,25,3506,134,750,715,890,1.43,-7.68,7.82,169.44,9,45.5610409,-84.7051386
116,25,3507,78,834,758,944,3.27,-7.78,8.44,157.21,-17,45.5610395,-84.7051151
116,25,3508,85,803,748,936,2.25,-7.96,8.27,164.23,11,45.5610382,-84.7051283
116,25,3509,137,1520,1529,1702,-0.56,-15.79,15.8,182.02,5,45.5609685,-84.705167
116,25,3510,96,1526,1524,1692,0.24,-15.78,15.79,179.14,-11,45.5609684,-84.7051569
117,25,3511,87,1964,2161,2068,-20.64,-0.44,20.64,268.79,8,45.5610807,-84.7050661
117,25,3512,99,1697,1894,1813,-17.94,-1.56,18.01,265.04,10,45.56107,-84.705032
117,25,3513,89,1428,1624,1453,-13.81,5.87,15,293.02,13,45.5611356,-84.7049763
117,25,3514,303,1456,1559,1355,-7.66,12.27,14.46,328.04,2,45.5611917,-84.7048952
117,25,3515,454,801,836,645,-1.66,7.23,7.42,347.06,6,45.5611448,-84.7048203
117,25,3516,320,517,690,546,-5.34,1.97,5.69,290.25,-15,45.5610984,-84.7048694
117,25,3517,205,1281,1166,1087,6.97,9.42,11.72,36.49,10,45.5611623,-84.704709
117,25,3518,305,1008,861,835,6.98,5.53,8.9,51.64,-8,45.5611272,-84.7047103
117,25,3519,286,906,757,739,6.37,4.69,7.91,53.66,-17,45.5611198,-84.7047184
117,25,3520,92,845,694,687,6.23,4.01,7.41,57.26,-22,45.5611138,-84.7047204
117,25,3521,434,943,765,801,7.62,3.02,8.2,68.38,13,45.5611045,-84.704703
117,25,3522,157,672,544,494,4.01,3.97,5.64,45.28,-12,45.561114,-84.7047489
117,25,3523,186,641,492,483,4.41,2.95,5.31,56.28,15,45.5611047,-84.7047441
117,25,3524,130,663,505,510,4.82,2.75,5.55,60.34,14,45.5611028,-84.7047389
117,25,26,149,637,506,456,3.76,3.68,5.26,45.61,-4,45.5611115,-84.7047522
117,25,27,528,1189,1187,1358,0.42,-12.22,12.23,178.05,-7,45.5609693,-84.7048008
117,25,3525,89,962,783,931,8.4,-2.97,8.91,109.46,-21,45.5610505,-84.7046952
117,25,3526,93,971,794,951,8.32,-3.55,9.04,113.13,20,45.5610452,-84.7046965
117,25,3527,102,1005,1019,1176,-0.62,-10.63,10.64,183.33,-15,45.5609839,-84.7048135
117,25,3528,449,1153,1168,1326,-0.6,-11.97,11.98,182.86,11,45.5609719,-84.7048137
117,25,3529,199,1645,1733,1845,-7.23,-15.77,17.35,204.63,-6,45.5609393,-84.7049
117,25,3530,256,1633,1723,1827,-7.63,-15.41,17.2,206.34,-19,45.5609427,-84.704905
117,25,3531,437,1974,2041,2170,-6.46,-19.41,20.45,198.4,8,45.5609064,-84.7048915
117,25,3532,196,1835,1879,2023,-4.01,-18.64,19.07,192.15,11,45.5609127,-84.7048599
118,25,3533,109,1450,1562,1654,-8.27,-13.15,15.54,212.16,3,45.5609244,-84.7047168
118,25,3534,86,1406,1514,1613,-7.67,-13.01,15.1,210.52,6,45.5609256,-84.704709
118,25,3535,79,1183,1315,1375,-8.4,-9.81,12.91,220.57,7,45.5609546,-84.7047172
118,25,3536,88,836,1013,1002,-8.46,-4.3,9.49,243.04,12,45.5610041,-84.704716
118,25,3537,141,483,503,650,-0.39,-5.36,5.37,184.14,6,45.5609925,-84.704613
118,25,3538,477,681,752,859,-2.48,-7.03,7.45,199.47,22,45.560978,-84.7046405
118,25,3539,188,880,978,1072,-4.58,-8.55,9.7,208.18,9,45.5609649,-84.7046679
118,25,28,428,559,618,718,-1.83,-5.88,6.16,197.27,33,45.5609882,-84.7046316
118,25,29,209,1027,940,1123,4.61,-9.14,10.24,153.26,2,45.5609572,-84.7045504
118,25,30,359,1497,1365,1601,8.43,-12.06,14.72,145.06,5,45.5609299,-84.7045026
118,25,3540,139,1481,1467,1629,1.22,-15.19,15.24,175.4,20,45.5609036,-84.704596
118,25,3541,123,1285,1224,1419,3.94,-12.46,13.07,162.46,6,45.5609275,-84.7045602
118,25,3542,196,1160,1054,1274,5.63,-10.08,11.55,150.84,7,45.5609485,-84.7045377
118,25,3543,181,983,865,1073,5.44,-8.01,9.68,145.8,6,45.5609672,-84.7045394
118,25,3544,159,1482,1391,1592,6.58,-13.31,14.85,153.68,4,45.5609192,-84.7045267
118,25,3545,179,1976,1912,2103,6.39,-18.87,19.93,161.28,4,45.5608692,-84.7045311
119,25,3546,156,441,398,575,1.05,-4.51,4.63,166.88,17,45.560871,-84.7045223
119,25,3547,291,529,474,665,1.56,-5.18,5.41,163.22,14,45.5608649,-84.704516
119,25,3548,212,504,543,686,-0.89,-5.6,5.67,189.05,8,45.5608618,-84.7045476
119,25,3549,234,527,573,711,-1.12,-5.82,5.93,190.88,11,45.5608598,-84.7045506
119,25,3550,279,598,513,711,2.48,-5.39,5.93,155.33,3,45.5608628,-84.7045044
119,25,3551,83,953,767,934,8.08,-3.55,8.83,113.74,11,45.5608779,-84.704432
119,25,3552,234,830,634,742,7.28,0.01,7.28,89.92,12,45.5609101,-84.7044409
119,25,3553,402,1224,1049,1066,9.82,4.9,10.98,63.46,-10,45.5609535,-84.7044066
119,25,3557,83,1397,1208,1355,12.64,-3.8,13.2,106.74,-13,45.5608745,-84.7043737
119,25,3558,82,1581,1390,1538,14.4,-4.31,15.03,106.65,7,45.5608695,-84.7043513
119,25,3559,82,1499,1322,1481,13.11,-5.82,14.35,113.95,8,45.5608562,-84.7043684
119,25,3560,104,1851,1660,1810,16.93,-5.27,17.73,107.29,10,45.5608602,-84.7043193
120,25,3554,97,691,851,884,-6.11,-5.26,8.06,229.28,1,45.5609262,-84.704302
120,25,3555,251,599,571,748,0.99,-6.21,6.29,170.99,15,45.5609158,-84.7042115
120,25,31,334,654,605,788,1.77,-6.44,6.68,164.66,-15,45.5609135,-84.7042016
120,25,32,275,546,420,619,3.17,-4.08,5.17,142.12,6,45.5609344,-84.7041827
120,25,33,191,769,579,700,6.73,-0.63,6.76,95.33,-11,45.5609645,-84.7041359
120,25,34,397,1213,1046,1056,9.59,5.18,10.9,61.62,8,45.561016,-84.7040972
120,25,3556,124,1194,1114,1301,4.91,-10.96,12.01,155.87,-13,45.5608721,-84.704163
120,25,3561,85,364,557,530,-4.46,-1.77,4.79,248.33,-6,45.5609571,-84.7042796
120,25,3562,126,299,496,442,-3.96,-0.88,4.06,257.43,7,45.560965,-84.7042729
120,25,3563,91,402,580,463,-4.66,1.01,4.77,282.21,-18,45.5609822,-84.7042812
120,25,3564,197,463,623,469,-4.52,2.31,5.07,297.06,12,45.5609938,-84.7042789
120,25,3565,128,525,666,492,-4.36,3.43,5.55,308.15,-10,45.5610039,-84.7042765
120,25,3566,133,694,713,524,-0.75,6.35,6.4,353.31,6,45.5610293,-84.7042291
120,25,3567,130,621,485,665,4.18,-4.11,5.86,134.49,-23,45.5609339,-84.7041699
120,25,3568,343,1163,989,1163,9.56,-5.28,10.92,118.91,8,45.560922,-84.7041015
120,25,3569,87,1525,1335,1488,13.74,-4.6,14.5,108.52,6,45.560927,-84.7040476
120,25,3570,117,731,544,682,6.34,-1.34,6.48,101.97,13,45.5609582,-84.7041412
120,25,3571,116,717,525,664,6.19,-1.21,6.31,101.03,4,45.5609595,-84.704143
120,25,3572,81,742,627,551,3.96,5,6.38,38.38,-8,45.5610159,-84.7041693
120,25,3573,84,1711,1526,1568,15.22,5.02,16.02,71.73,10,45.5610132,-84.7040252
120,25,3574,161,1484,1324,1316,11.55,7.4,13.72,57.33,-14,45.5610355,-84.7040713
120,25,3575,417,1740,1602,1572,12.5,10.36,16.23,50.35,11,45.5610618,-84.7040581
120,25,3595,142,876,692,757,7.53,1.66,7.71,77.55,12,45.5609849,-84.7041248
120,25,3596,152,922,742,798,7.91,2.07,8.17,75.35,-14,45.5609885,-84.7041199
120,25,3597,83,903,720,788,7.87,1.56,8.03,78.79,11,45.5609839,-84.7041205
121,25,3576,78,1485,1591,1677,-8.4,-13.43,15.84,212.02,5,45.5608121,-84.7041249
121,25,3577,157,786,895,966,-4.9,-7.28,8.77,213.93,-19,45.5608665,-84.7040778
121,25,3578,368,374,535,555,-3.63,-3.02,4.72,230.25,14,45.5609045,-84.70406
121,25,3579,231,294,430,486,-2.37,-3.11,3.91,217.3,9,45.5609033,-84.7040439
121,25,3580,338,543,634,728,-2.55,-5.65,6.2,204.3,12,45.5608805,-84.7040472
121,25,3581,245,1018,1085,1211,-3.42,-10.41,10.96,198.21,12,45.560838,-84.7040601
121,25,3582,149,835,836,999,0.08,-8.85,8.85,179.49,10,45.560851,-84.7040147
121,25,3583,286,886,885,1040,0.23,-9.27,9.27,178.6,11,45.5608473,-84.704013
121,25,35,275,876,836,1018,1.9,-8.78,8.99,167.79,-10,45.5608512,-84.7039913
121,25,36,334,921,782,981,5.99,-6.46,8.81,137.16,1,45.560871,-84.7039381
