"Subplot","Species","Calculation","Value","Date","Filename_2018","final_ID","Sample","girdled","Year"
"D01W","acru","NPCI","-0.01507053",2018-07-23,"D01W_acru_can08_07232018","1WA3",2,"N",2018
"D01W","acru","RENDVI","0.4840648",2018-07-23,"D01W_acru_can08_07232018","1WA3",2,"N",2018
"D01W","acru","PRI","0.06080893",2018-07-23,"D01W_acru_can08_07232018","1WA3",2,"N",2018
"D01W","acru","NDVI","0.8722273",2018-07-23,"D01W_acru_can09_07232018","1WA3",3,"N",2018
"D01W","acru","NPCI","0.03836336",2018-07-23,"D01W_acru_can09_07232018","1WA3",3,"N",2018
"D01W","acru","RENDVI","0.4781075",2018-07-23,"D01W_acru_can09_07232018","1WA3",3,"N",2018
"D01W","acru","PRI","0.02380994",2018-07-23,"D01W_acru_can09_07232018","1WA3",3,"N",2018
"D01W","pogr","NDVI","0.8863823",2018-07-23,"D01W_pogr_can01_07232018","1WP1",1,"N",2018
"D01W","pogr","NPCI","-0.09350538",2018-07-23,"D01W_pogr_can01_07232018","1WP1",1,"N",2018
"D01W","pogr","RENDVI","0.5940754",2018-07-23,"D01W_pogr_can01_07232018","1WP1",1,"N",2018
"D01W","pogr","PRI","0.04277771",2018-07-23,"D01W_pogr_can01_07232018","1WP1",1,"N",2018
"D01W","pogr","NDVI","0.8715631",2018-07-23,"D01W_pogr_can02_07232018","1WP1",2,"N",2018
"D01W","pogr","NPCI","-0.009782225",2018-07-23,"D01W_pogr_can02_07232018","1WP1",2,"N",2018
"D01W","pogr","RENDVI","0.5609432",2018-07-23,"D01W_pogr_can02_07232018","1WP1",2,"N",2018
"D01W","pogr","PRI","0.0374776",2018-07-23,"D01W_pogr_can02_07232018","1WP1",2,"N",2018
"D01W","pogr","NDVI","0.8884373",2018-07-23,"D01W_pogr_can03_07232018","1WP1",3,"N",2018
"D01W","pogr","NPCI","-0.02032509",2018-07-23,"D01W_pogr_can03_07232018","1WP1",3,"N",2018
"D01W","pogr","RENDVI","0.596527",2018-07-23,"D01W_pogr_can03_07232018","1WP1",3,"N",2018
"D01W","pogr","PRI","0.02662073",2018-07-23,"D01W_pogr_can03_07232018","1WP1",3,"N",2018
"D01W","pogr","NDVI","0.8928184",2018-07-23,"D01W_pogr_can04_07232018","1WP2",1,"N",2018
"D01W","pogr","NPCI","-0.08858022",2018-07-23,"D01W_pogr_can04_07232018","1WP2",1,"N",2018
"D01W","pogr","RENDVI","0.5487825",2018-07-23,"D01W_pogr_can04_07232018","1WP2",1,"N",2018
"D01W","pogr","PRI","0.01334624",2018-07-23,"D01W_pogr_can04_07232018","1WP2",1,"N",2018
"D01W","pogr","NDVI","0.8747506",2018-07-23,"D01W_pogr_can05_07232018","1WP2",2,"N",2018
"D01W","pogr","NPCI","-0.08819182",2018-07-23,"D01W_pogr_can05_07232018","1WP2",2,"N",2018
"D01W","pogr","RENDVI","0.5415396",2018-07-23,"D01W_pogr_can05_07232018","1WP2",2,"N",2018
"D01W","pogr","PRI","0.007943437",2018-07-23,"D01W_pogr_can05_07232018","1WP2",2,"N",2018
"D01W","pogr","NDVI","0.8861296",2018-07-23,"D01W_pogr_can06_07232018","1WP2",3,"N",2018
"D01W","pogr","NPCI","-0.1449861",2018-07-23,"D01W_pogr_can06_07232018","1WP2",3,"N",2018
"D01W","pogr","RENDVI","0.5644776",2018-07-23,"D01W_pogr_can06_07232018","1WP2",3,"N",2018
"D01W","pogr","PRI","0.0243836",2018-07-23,"D01W_pogr_can06_07232018","1WP2",3,"N",2018
"D01W","pogr","NDVI","0.8815812",2018-07-23,"D01W_pogr_can07_07232018","1WP3",1,"N",2018
"D01W","pogr","NPCI","-0.1001047",2018-07-23,"D01W_pogr_can07_07232018","1WP3",1,"N",2018
"D01W","pogr","RENDVI","0.5036172",2018-07-23,"D01W_pogr_can07_07232018","1WP3",1,"N",2018
"D01W","pogr","PRI","0.03901139",2018-07-23,"D01W_pogr_can07_07232018","1WP3",1,"N",2018
"D01W","pogr","NDVI","0.871369",2018-07-23,"D01W_pogr_can08_07232018","1WP3",2,"N",2018
"D01W","pogr","NPCI","-0.05333436",2018-07-23,"D01W_pogr_can08_07232018","1WP3",2,"N",2018
"D01W","pogr","RENDVI","0.5299195",2018-07-23,"D01W_pogr_can08_07232018","1WP3",2,"N",2018
"D01W","pogr","PRI","0.01908731",2018-07-23,"D01W_pogr_can08_07232018","1WP3",2,"N",2018
"D01W","pogr","NDVI","0.8753778",2018-07-23,"D01W_pogr_can09_07232018","1WP3",3,"N",2018
"D01W","pogr","NPCI","-0.107687",2018-07-23,"D01W_pogr_can09_07232018","1WP3",3,"N",2018
"D01W","pogr","RENDVI","0.5866367",2018-07-23,"D01W_pogr_can09_07232018","1WP3",3,"N",2018
"D01W","pogr","PRI","0.04431385",2018-07-23,"D01W_pogr_can09_07232018","1WP3",3,"N",2018
"D01W","quru","NDVI","0.8601827",2018-07-23,"D01W_quru_can01_07232018","1WQ1",1,"N",2018
"D01W","quru","NPCI","-0.02920333",2018-07-23,"D01W_quru_can01_07232018","1WQ1",1,"N",2018
"D01W","quru","RENDVI","0.532749",2018-07-23,"D01W_quru_can01_07232018","1WQ1",1,"N",2018
"D01W","quru","PRI","0.04288789",2018-07-23,"D01W_quru_can01_07232018","1WQ1",1,"N",2018
"D01W","quru","NDVI","0.8613068",2018-07-23,"D01W_quru_can02_07232018","1WQ1",2,"N",2018
"D01W","quru","NPCI","0.004885404",2018-07-23,"D01W_quru_can02_07232018","1WQ1",2,"N",2018
"D01W","quru","RENDVI","0.4719584",2018-07-23,"D01W_quru_can02_07232018","1WQ1",2,"N",2018
"D01W","quru","PRI","0.04305053",2018-07-23,"D01W_quru_can02_07232018","1WQ1",2,"N",2018
