Layer Title, Color, Specimen ID
Layer 1, Blue, 4WP1_02_20210726

Mode, Integration Time, Boxcar Width, Scans to Average
Reflectance,250 ms,10,5

Wavelength, Raw Spectrometer Data, Calibrated and Averaged Data
371.655168477027,3096.45073214286,9.21671490593345%
371.869404448341,3091.49659821429,9.24243459252684%
372.083629278672,3118.90037053571,9.48088742659996%
372.29784296573,3132.35845089286,9.56282271944926%
372.512045507227,3144.91932589286,9.76413138618877%
372.726236900874,3149.75643303572,9.83945483945488%
372.940417144384,3152.81863392857,9.76902820152897%
373.154586235468,3159.09907142857,9.94883125944877%
373.368744171837,3160.23033035714,10.0083703410914%
373.582890951202,3160.38636607143,9.83920589771868%
373.797026571277,3138.38533035714,9.684035859971%
374.011151029772,3120.26568303571,9.79603562194769%
374.225264324398,3128.67210714286,9.91553475630637%
374.439366452868,3118.99789285714,9.70615129313753%
374.653457412893,3112.07380803571,9.72529980959165%
